Verse,Text,Stage
Gen 49:2,hiqqābəṣû  wə šimʕû  bənê  yaʕăqōb  wə šimʕû  ʔel  yiśrāʔēl  ʔăbîkem,Archaic Biblical Hebrew
Gen 49:3,rəʔûbēn  bəkōrî  ʔattā  kōḥî  wə rēšît  ʔônî  yeter  śəʔēt  wə yeter  ʕāz,Archaic Biblical Hebrew
Gen 49:4,paḥaz  ka  mayim  ʔal  tôtar  kî  ʕālîtā  miškəbê  ʔābîkā  ʔāz  ḥillaltā  yəṣûʕî  ʕālā,Archaic Biblical Hebrew
Gen 49:5,šimʕôn  wə lēwî  ʔaḥîm  kəlê  ḥāmās  məkērōtêhem,Archaic Biblical Hebrew
Gen 49:6,bə sōdām  ʔal  tābō  napšî  bi qəhālām  ʔal  tēḥad  kəbōdî  kî  bə ʔappām  hārəgû  ʔîš  û bi rəṣōnām  ʕiqqərû  šôr,Archaic Biblical Hebrew
Gen 49:7,ʔārûr  ʔappām  kî  ʕāz  wə ʕebrātām  kî  qāšātā  ʔăḥalləqēm  bə yaʕăqōb  wa ʔăpîṣēm  bə yiśrāʔēl,Archaic Biblical Hebrew
Gen 49:8,yəhûdā  ʔattā  yôdûkā  ʔaḥêkā  yādəkā  bə ʕōrep  ʔōyəbêkā  yištaḥăûû  ləkā  bənê  ʔābîkā,Archaic Biblical Hebrew
Gen 49:9,gûr  ʔaryē  yəhûdā  mi ṭerep  bənî  ʕālîtā  kāraʕ  rābaṣ  kə ʔaryē  û kə lābî  mî  yəqîmennû,Archaic Biblical Hebrew
Gen 49:10,lō  yāsûr  šēbeṭ  mi yhûdā  û məḥōqēq  mi bên  raglāʸw  ʕad  kî  yābō  šîlô  wə lô  yiqqəhat  ʕammîm,Archaic Biblical Hebrew
Gen 49:11,ʔōsərî  la  gepen  ʕîrô  wə la  śōrēqā  bənî  ʔătōnô  kibbēs  ba  yayin  ləbušô  û bə dam  ʕănābîm  sûtô,Archaic Biblical Hebrew
Gen 49:12,ḥaklîlî  ʕênayim  mi yāyin  û ləben  šinnayim  mē ḥālāb,Archaic Biblical Hebrew
Gen 49:13,zəbûlun  lə ḥôp  yammîm  yiškōn  wə hû  lə ḥôp  ʔᵒniyyôt  wə yarəkātô  ʕal  ṣîdōn,Archaic Biblical Hebrew
Gen 49:14,yiśśāŝkār  ḥămōr  gārem  rōbēṣ  bên  ha mišpətāyim,Archaic Biblical Hebrew
Gen 49:15,wa yar  mənuḥā  kî  ṭôb  wə ʔet  hā ʔāreṣ  kî  nāʕēmā  wa yēṭ  šikmô  li səbbōl  wa yəhî  lə mas  ʕōbēd,Archaic Biblical Hebrew
Gen 49:16,dān  yādîn  ʕammô  kə ʔaḥad  šibṭê  yiśrāʔēl,Archaic Biblical Hebrew
