Verse,Text
Ps 119:141,ṣāʕîr  ʔānōkî  wə nibzê  piqqudêkā  lō  šākāḥəttî
Ps 119:153,rəʔē  ʕonyî  wə ḥalləṣēnî  kî  tôrātəkā  lō  šākāḥəttî
Ezek 7:16,û pāləṭû  pəlîṭêhem  wə hāyû  ʔel  he hārîm  kə yônê  ha gēʔāyôt  kullām  hōmôt  ʔîš  ba ʕăwōnô
1 Chr 9:40,û ben  yəhônātān  mərîb bāʕal  û mərî baʕal  hôlîd  ʔet  mîkā
Ps 137:8,bat  bābel  ha šədûdā  ʔašrê  še yəšallem  lāk  ʔet  gəmûlēk  še gāmalt  lānû
Gen 10:25,û lə ʕēber  yullad  šənê  bānîm  šēm  hā ʔeḥād  peleg  kî  bə yāmāʸw  nipləgā  hā ʔāreṣ  wə šēm  ʔāḥiʸw  yoqṭān
Gen 43:21,wa yəhî  kî  bānû  ʔel  ha mālôn  wa niptəḥā  ʔet  ʔamtəḥōtênû  wə hinnē  kesep  ʔîš  bə pî  ʔamtaḥtô  kaspēnû  bə mišqālô  wa nāšeb  ʔōtô  bə yādēnû
1 Kgs 8:41,wə gam  ʔel  ha nokrî  ʔăšer  lō  mē ʕamməkā  yiśrāʔēl  hû  û bā  mē ʔereṣ  rəḥôqā  ləmaʕan  šəmekā
Job 37:1,ʔap  l zōt  yeḥĕrad  libbî  w yittar  mi məqômô
Ezek 4:15,wa yōmer  ʔēlay  rəʔē  nātattî  ləkā  ʔet  ṣəpîʕê  ha bāqār  taḥat  gellê  hā ʔādām  wə ʕāśîtā  ʔet  laḥməkā  ʕălêhem
1 Sam 17:44,wa yōmer  ha pəlištî  ʔel  dāwid  ləkā  ʔēlay  wə ʔettənā  ʔet  bəśārəkā  lə ʕôp  ha šāmayim  û lə bêĕmat  ha śādê
Isa 29:3,wə ḥānîtî  ka  dûr  ʕālāyik  wə ṣartî  ʕālayik  muṣṣāb  wa hăqîmōtî  ʕālayik  məṣurōt
Gen 36:23,wə ʔēllê  bənê  šôbāl  ʕalwān  û mānaḥat  wə ʕêbāl  šəpô  wə ʔônām
