Verse,Text
1 Sam 22:18,wa yōmer  ha melek  lə dôʔēg  sōb  ʔattā  û pəgaʕ  ba  kōhănîm  wa yissōb  dôʔēg  hā ʔădōmî  wa yipgaʕ  hû  ba  kōhănîm  wa yāmet  ba  yôm  ha hû  šəmōnîm  wa ḥămiššā  ʔîš  nōśē  ʔēpôd  bād
Num 12:13,wa yiṣʕaq  mōšê  ʔel  yəhwāh  lē ʔmōr  ʔēl  nā  rəpā  nā  lāh
Ezek 6:9,wə zākərû  pəlîṭêkem  ʔôtî  ba  gôyim  ʔăšer  nišbû  šām  ʔăšer  nišbartî  ʔet  libbām  ha zônê  ʔăšer  sār  mē ʕālay  wə ʔēt  ʕênêhem  ha zōnôt  ʔaḥărê  gillûlêhem  wə nāqōṭṭû  bi pənêhem  ʔel  hā rāʕôt  ʔăšer  ʕāśû  lə kōl  tôʕăbōtêhem
Jer 25:31,bā  šāʔôn  ʕad  qəṣē  hā ʔāreṣ  kî  rîb  la yhwāh  ba  gôyim  nišpāṭ  hû  lə kol  bāśār  hā rəšāʕîm  nətānām  la  ḥereb  nəʔum  yəhwāh
Ps 50:4,yiqrā  ʔel  ha šāmayim  mē ʕāl  wə ʔel  hā ʔāreṣ  lā dîn  ʕammô
Deut 32:25,mi ḥûṣ  təšakkel  ḥereb  û mē ḥădārîm  ʔêmā  gam  bāḥûr  gam  bətûlā  yônēq  ʕim  ʔîš  śêbā
Isa 14:11,hûrad  šəʔôl  gəʔônekā  hemyat  nəbālêkā  taḥtêkā  yuṣṣaʕ  rimmā  û məkassêkā  tôlēʕā
Job 9:19,ʔim  lə kōaḥ  ʔammîṣ  hinnē  wə ʔim  l mišpāṭ  mî  yôʕîdēnî
Num 16:32,wa tiptaḥ  hā ʔāreṣ  ʔet  pîhā  wa tiblaʕ  ʔōtām  wə ʔet  bāttêhem  wə ʔēt  kol  hā ʔādām  ʔăšer  lə qōraḥ  wə ʔēt  kol  hā răkûš
Gen 41:51,wa yiqrā  yôsēp  ʔet  šēm  ha bəkôr  mənaššê  kî  naššanî  ʔĕlōhîm  ʔet  kol  ʕămālî  wə ʔēt  kol  bêt  ʔābî
2 Chr 2:1,wa yispōr  šəlōmō  šibʕîm  ʔelep  ʔîš  sabbāl  û šəmônîm  ʔelep  ʔîš  ḥōṣēb  bā  hār  û mənaṣṣəḥîm  ʕălêhem  šəlōšet  ʔălāpîm  wə šēš  mēʔôt
2 Chr 23:11,wa yôṣîʔû  ʔet  ben  ha melek  wa yittənû  ʕālāʸw  ʔet  ha nēzer  wə ʔet  hā ʕēdût  wa yamlîkû  ʔōtô  wa yimšāḥuhû  yəhôyādāʕ  û bānāʸw  wa yōmərû  yəḥî  ha melek
Exod 21:8,ʔim  rāʕā  bə ʕênê  ʔădōnêhā  ʔăšer  lô  yəʕādāh  wə hepdāh  lə ʕam  nokrî  lō  yimšōl  lə mokrāh  bə bigədô  bāh
2 Sam 23:5,kî  lō  kēn  bêtî  ʕim  ʔēl  kî  bərît  ʕôlām  śām  lî  ʕărûkā  ba  kōl  û šəmurā  kî  kol  yišʕî  wə kol  ḥēpeṣ  kî  lō  yaṣmîaḥ
2 Chr 14:14,wə gam  ʔohᵒlê  miqnê  hikkû  wa yišbû  ṣōn  lā rōb  û gəmallîm  wa yāšubû  yərûšālāim
Ps 140:10,rōš  məsibbāy  ʕămal  śəpātêmô  yəkassêmô
Ps 37:7,dôm  la yhwāh  wə hitḥôlēl  lô  ʔal  titḥar  bə maṣlîaḥ  darkô  bə ʔîš  ʕōśê  məzimmôt
Gen 12:17,wa yənaggaʕ  yəhwāh  ʔet  parʕō  nəgāʕîm  gədōlîm  wə ʔet  bêtô  ʕal  dəbar  śāray  ʔēšet  ʔabrām
Jud 6:34,wə rûaḥ  yəhwāh  lābəšā  ʔet  gidʕôn  wa yitqaʕ  ba  šôpār  wa yizzāʕēq  ʔăbîʕezer  ʔaḥărāʸw
Gen 38:12,wa yirbû  ha yāmîm  wa tāmot  bat  šûaʕ  ʔēšet  yəhûdā  wa yinnāḥem  yəhûdā  wa yaʕal  ʕal  gōzăzê  ṣōnô  hû  wə ḥîrā  rēʕēhû  hā ʕădullāmî  timnātā
Ezek 30:10,kō  ʔāmar  ʔădōnāy  yəhwih  wə hišbattî  ʔet  hămôn  miṣrayim  bə yad  nəbûkadreṣṣar  melek  bābel
Ezek 14:12,wa yəhî  dəbar  yəhwāh  ʔēlay  lē ʔmōr
Job 40:2,hă rōb  ʕim  šadday  yissôr  môkîaḥ  ʔĕlôah  yaʕănennā
Amos 4:5,wə qaṭṭēr  mē ḥāmēṣ  tôdā  wə qirʔû  nədābôt  hašmîʕû  kî  kēn  ʔăhabtem  bənê  yiśrāʔēl  nəʔum  ʔădōnāy  yəhwih
1 Kgs 22:40,wa yiškab  ʔaḥʔāb  ʕim  ʔăbōtāʸw  wa yimlōk  ʔăḥazyāhû  bənô  taḥtāʸw
Gen 21:3,wa yiqrā  ʔabrāhām  ʔet  šem  bənô  ha nôlad  lô  ʔăšer  yālədā  lô  śārā  yiṣḥāq
Lev 22:18,dabbēr  ʔel  ʔahărōn  wə ʔel  bānāʸw  wə ʔel  kol  bənê  yiśrāʔēl  wə ʔāmartā  ʔălēhem  ʔîš  ʔîš  mi bêt  yiśrāʔēl  û min  ha gēr  bə yiśrāʔēl  ʔăšer  yaqrîb  qorbānô  lə kol  nidrêhem  û lə kol  nidəbôtām  ʔăšer  yaqrîbû  la yhwāh  lə ʕōlā
Exod 18:5,wa yābō  yitrô  ḥōtēn  mōšê  û bānāʸw  wə ʔištô  ʔel  mōšê  ʔel  ha midbār  ʔăšer  hû  ḥōnê  šām  har  hā ʔĕlōhîm
Gen 48:2,wa yaggēd  lə yaʕăqōb  wa yōmer  hinnē  binəkā  yôsēp  bā  ʔēlêkā  wa yitḥazzēq  yiśrāʔēl  wa yēšeb  ʕal  ha miṭṭā
Lev 21:24,wa yədabbēr  mōšê  ʔel  ʔahărōn  wə ʔel  bānāʸw  wə ʔel  kol  bənê  yiśrāʔēl
1 Sam 13:5,û pəlištîm  neʔesəpû  lə hillāḥēm  ʕim  yiśrāʔēl  šəlōšîm  ʔelep  rekeb  wə šēšet  ʔălāpîm  pārāšîm  wə ʕām  ka  ḥôl  ʔăšer  ʕal  śəpat  ha yom  lā rōb  wa yaʕălû  wa yaḥănû  bə mikmāś  qidmat  bêt ʔāwen
Gen 30:36,wa yāśem  derek  šəlōšet  yāmîm  bênô  û bên  yaʕăqōb  wə yaʕăqōb  rōʕê  ʔet  ṣōn  lābān  ha nôtārōt
2 Kgs 21:2,wa yaʕaś  hā raʕ  bə ʕênê  yəhwāh  kə tôʕăbōt  ha gôyim  ʔăšer  hôrîš  yəhwāh  mi pənê  bənê  yiśrāʔēl
Exod 6:25,wə ʔelʕāzār  ben  ʔahărōn  lāqaḥ  lô  mi bənôt  pûṭîʔēl  lô  lə ʔiššā  wa tēled  lô  ʔet  pînəḥās  ʔēllê  rāšê  ʔăbôt  ha ləwiyyim  lə mišpəḥōtām
Hos 7:12,ka ʔăšer  yēlēkû  ʔeprôś  ʕălêhem  rištî  kə ʕôp  ha šāmayim  ʔôrîdēm  ʔaysirēm  kə šēmaʕ  la ʕădātām
